Initial packet size,Initial TTL,Window size,DF flag,port,Max Segment Size,Window Scalling Value,sackOK,Target
180,54,128,64001,1,49206,0,0,0,windows
181,145,56,2816,0,49208,0,0,0,windows
182,54,128,62721,1,49206,0,0,0,windows
183,54,128,61185,1,49206,0,0,0,windows
184,54,128,59905,1,49206,0,0,0,windows
185,54,128,58369,1,49206,0,0,0,windows
186,54,128,57089,1,49206,0,0,0,windows
187,54,128,55553,1,49206,0,0,0,windows
188,54,128,54273,1,49206,0,0,0,windows
189,54,128,52737,1,49206,0,0,0,windows
190,54,128,51457,1,49206,0,0,0,windows
191,54,128,49921,1,49206,0,0,0,windows
192,54,128,48641,1,49206,0,0,0,windows
193,54,128,47105,1,49206,0,0,0,windows
194,54,128,45825,1,49206,0,0,0,windows
195,54,128,44289,1,49206,0,0,0,windows
196,54,128,43009,1,49206,0,0,0,windows
197,54,128,41473,1,49206,0,0,0,windows
198,54,128,40193,1,49206,0,0,0,windows
199,54,128,38657,1,49206,0,0,0,windows
200,54,128,37377,1,49206,0,0,0,windows
201,54,128,35841,1,49206,0,0,0,windows
202,54,128,34561,1,49206,0,0,0,windows
203,54,128,33025,1,49206,0,0,0,windows
204,54,128,31745,1,49206,0,0,0,windows
205,54,128,30209,1,49206,0,0,0,windows
206,54,128,28929,1,49206,0,0,0,windows
207,54,128,27393,1,49206,0,0,0,windows
208,54,128,26113,1,49206,0,0,0,windows
209,54,128,24577,1,49206,0,0,0,windows
210,54,128,23041,1,49206,0,0,0,windows
211,54,128,21761,1,49206,0,0,0,windows
212,54,128,20225,1,49206,0,0,0,windows
213,54,128,18945,1,49206,0,0,0,windows
214,54,128,17409,1,49206,0,0,0,windows
215,54,128,16129,1,49206,0,0,0,windows
216,54,128,14593,1,49206,0,0,0,windows
217,54,128,13313,1,49206,0,0,0,windows
218,54,128,11777,1,49206,0,0,0,windows
219,54,128,10497,1,49206,0,0,0,windows
220,54,128,8961,1,49206,0,0,0,windows
221,54,128,7681,1,49206,0,0,0,windows
222,54,128,6145,1,49206,0,0,0,windows
223,54,128,4865,1,49206,0,0,0,windows
224,54,128,3329,1,49206,0,0,0,windows
225,54,128,2049,1,49206,0,0,0,windows
226,54,128,513,1,49206,0,0,0,windows
227,54,128,64768,1,49206,0,0,0,windows
228,54,128,63232,1,49206,0,0,0,windows
229,54,128,61952,1,49206,0,0,0,windows
230,54,128,60416,1,49206,0,0,0,windows
231,54,128,59136,1,49206,0,0,0,windows
232,54,128,57600,1,49206,0,0,0,windows
233,54,128,56320,1,49206,0,0,0,windows
234,54,128,54784,1,49206,0,0,0,windows
235,54,128,53504,1,49206,0,0,0,windows
236,54,128,51968,1,49206,0,0,0,windows
237,54,128,50688,1,49206,0,0,0,windows
238,54,128,49152,1,49206,0,0,0,windows
239,54,128,47872,1,49206,0,0,0,windows
240,54,128,46336,1,49206,0,0,0,windows
241,54,128,45056,1,49206,0,0,0,windows
242,54,128,43520,1,49206,0,0,0,windows
243,54,128,42240,1,49206,0,0,0,windows
244,54,128,40704,1,49206,0,0,0,windows
245,54,128,39424,1,49206,0,0,0,windows
246,54,128,37888,1,49206,0,0,0,windows
247,54,128,36608,1,49206,0,0,0,windows
248,54,128,35072,1,49206,0,0,0,windows
249,54,128,33792,1,49206,0,0,0,windows
250,54,128,32256,1,49206,0,0,0,windows
251,54,128,30976,1,49206,0,0,0,windows
252,54,128,29440,1,49206,0,0,0,windows
