Initial packet size,Initial TTL,Window size,DF flag,Max Segment Size,Window Scalling Value,sackOK,Target,Target_num
54,55,40960,1,0,0,0,windows,1
54,55,41216,1,0,0,0,windows,1
54,55,41728,1,0,0,0,windows,1
54,55,42240,1,0,0,0,windows,10
54,55,42240,1,0,0,0,windows,10
54,55,42240,1,0,0,0,windows,10
54,55,42240,1,0,0,0,windows,10
54,55,42240,1,0,0,0,windows,10
54,55,42240,1,0,0,0,windows,10
54,55,42240,1,0,0,0,windows,10
54,55,42240,1,0,0,0,windows,10
54,55,42240,1,0,0,0,windows,10
54,55,42240,1,0,0,0,windows,10
54,55,42496,1,0,0,0,windows,4
54,55,42496,1,0,0,0,windows,4
54,55,42496,1,0,0,0,windows,4
54,55,42496,1,0,0,0,windows,4
54,55,47775,1,0,0,0,windows,1
54,55,53377,1,0,0,0,windows,1
54,55,58624,1,0,0,0,windows,1
54,56,0,1,0,0,0,windows,3
54,56,0,1,0,0,0,windows,3
54,56,0,1,0,0,0,windows,3
54,56,1146,1,0,0,0,windows,1
54,56,2170,1,0,0,0,windows,1
54,56,2816,0,0,0,0,windows,1
54,56,4514,1,0,0,0,windows,1
54,56,8313,1,0,0,0,windows,1
54,56,9355,1,0,0,0,windows,1
54,56,10489,1,0,0,0,windows,1
54,56,14243,0,0,0,0,windows,1
54,56,14243,1,0,0,0,windows,2
54,56,14243,1,0,0,0,windows,2
54,56,16501,1,0,0,0,windows,9
54,56,16501,1,0,0,0,windows,9
54,56,16501,1,0,0,0,windows,9
54,56,16501,1,0,0,0,windows,9
54,56,16501,1,0,0,0,windows,9
54,56,16501,1,0,0,0,windows,9
54,56,16501,1,0,0,0,windows,9
54,56,16501,1,0,0,0,windows,9
54,56,16501,1,0,0,0,windows,9
54,56,16548,1,0,0,0,windows,1
54,56,20643,1,0,0,0,windows,3
54,56,20643,1,0,0,0,windows,3
54,56,20643,1,0,0,0,windows,3
54,56,25508,1,0,0,0,windows,1
54,56,28793,1,0,0,0,windows,14
54,56,28793,1,0,0,0,windows,14
54,56,28793,1,0,0,0,windows,14
54,56,28793,1,0,0,0,windows,14
54,56,28793,1,0,0,0,windows,14
54,56,28793,1,0,0,0,windows,14
54,56,28793,1,0,0,0,windows,14
54,56,28793,1,0,0,0,windows,14
54,56,28793,1,0,0,0,windows,14
54,56,28793,1,0,0,0,windows,14
54,56,28793,1,0,0,0,windows,14
54,56,28793,1,0,0,0,windows,14
54,56,28793,1,0,0,0,windows,14
54,56,28793,1,0,0,0,windows,14
54,56,41085,1,0,0,0,windows,3
54,56,41085,1,0,0,0,windows,3
54,56,41085,1,0,0,0,windows,3
54,56,42240,1,0,0,0,windows,2
54,56,42240,1,0,0,0,windows,2
54,56,42496,1,0,0,0,windows,1
54,56,47775,1,0,0,0,windows,1
54,56,56480,1,0,0,0,windows,1
54,56,56986,1,0,0,0,windows,1
54,56,58605,1,0,0,0,windows,1
54,56,59810,1,0,0,0,windows,1
54,56,63606,1,0,0,0,windows,1
54,56,65535,1,0,0,0,windows,2
54,56,65535,1,0,0,0,windows,2
54,57,1146,1,0,0,0,windows,1
54,57,4209,1,0,0,0,windows,2
54,57,4209,1,0,0,0,windows,2
54,57,6375,1,0,0,0,windows,1
54,57,10489,1,0,0,0,windows,3
54,57,10489,1,0,0,0,windows,3
54,57,10489,1,0,0,0,windows,3
54,57,11946,1,0,0,0,windows,1
54,57,14243,0,0,0,0,windows,1
54,57,14243,1,0,0,0,windows,2
54,57,14243,1,0,0,0,windows,2
54,57,16501,1,0,0,0,windows,9
54,57,16501,1,0,0,0,windows,9
54,57,16501,1,0,0,0,windows,9
54,57,16501,1,0,0,0,windows,9
54,57,16501,1,0,0,0,windows,9
54,57,16501,1,0,0,0,windows,9
54,57,16501,1,0,0,0,windows,9
54,57,16501,1,0,0,0,windows,9
54,57,16501,1,0,0,0,windows,9
54,57,20643,1,0,0,0,windows,3
54,57,20643,1,0,0,0,windows,3
54,57,20643,1,0,0,0,windows,3
54,57,22173,1,0,0,0,windows,1
54,57,25508,1,0,0,0,windows,3
54,57,25508,1,0,0,0,windows,3
54,57,25508,1,0,0,0,windows,3
54,57,28793,1,0,0,0,windows,4
54,57,28793,1,0,0,0,windows,4
54,57,28793,1,0,0,0,windows,4
54,57,28793,1,0,0,0,windows,4
54,57,52089,1,0,0,0,windows,1
54,57,52854,1,0,0,0,windows,1
54,57,55714,1,0,0,0,windows,1
54,57,56480,1,0,0,0,windows,1
54,57,57027,1,0,0,0,windows,1
54,57,62721,1,0,0,0,windows,2
54,57,62721,1,0,0,0,windows,2
54,57,63906,1,0,0,0,windows,1
54,57,65535,1,0,0,0,windows,3
54,57,65535,1,0,0,0,windows,3
54,57,65535,1,0,0,0,windows,3
54,58,10489,1,0,0,0,windows,1
54,58,16501,1,0,0,0,windows,1
54,58,41085,1,0,0,0,windows,1
54,58,52089,1,0,0,0,windows,1
54,58,59014,1,0,0,0,windows,1
54,58,59456,1,0,0,0,windows,1
54,58,59645,1,0,0,0,windows,1
54,58,62840,1,0,0,0,windows,1
54,59,5241,1,0,0,0,windows,1
54,59,16501,1,0,0,0,windows,3
54,59,16501,1,0,0,0,windows,3
54,59,16501,1,0,0,0,windows,3
54,59,28793,1,0,0,0,windows,1
54,59,41028,1,0,0,0,windows,1
54,59,47164,1,0,0,0,windows,1
54,59,59456,1,0,0,0,windows,1
54,59,62840,1,0,0,0,windows,1
54,60,1281,0,0,0,0,windows,11
54,60,1281,0,0,0,0,windows,11
54,60,1281,0,0,0,0,windows,11
54,60,1281,0,0,0,0,windows,11
54,60,1281,0,0,0,0,windows,11
54,60,1281,0,0,0,0,windows,11
54,60,1281,0,0,0,0,windows,11
54,60,1281,0,0,0,0,windows,11
54,60,1281,0,0,0,0,windows,11
54,60,1281,0,0,0,0,windows,11
54,60,1281,0,0,0,0,windows,11
54,60,2305,0,0,0,0,windows,4
54,60,2305,0,0,0,0,windows,4
54,60,2305,0,0,0,0,windows,4
54,60,2305,0,0,0,0,windows,4
54,60,2561,0,0,0,0,windows,2
54,60,2561,0,0,0,0,windows,2
54,60,3073,0,0,0,0,windows,6
54,60,3073,0,0,0,0,windows,6
54,60,3073,0,0,0,0,windows,6
54,60,3073,0,0,0,0,windows,6
54,60,3073,0,0,0,0,windows,6
54,60,3073,0,0,0,0,windows,6
54,60,3329,0,0,0,0,windows,4
54,60,3329,0,0,0,0,windows,4
54,60,3329,0,0,0,0,windows,4
54,60,3329,0,0,0,0,windows,4
54,60,4097,0,0,0,0,windows,1
54,60,4865,0,0,0,0,windows,1
54,60,24483,1,0,0,0,windows,2
54,60,24483,1,0,0,0,windows,2
